idnumber,smiles,smiles_desalted,hac,mw,alogp,hba,hbd,psa,rotb,arom,alerts
HMDB0015679,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,21,327.12300000000005,3.859500000000001,4,2,92.47,3,2,2
HMDB0015684,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,21,328.151,3.2653000000000016,4,0,59.75,4,2,3
HMDB0015688,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,18,267.31,1.67444,5,2,98.22,3,2,1
HMDB0015696,Cc1cc2c(OCC(C[NH2+]C(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,Cc1cc2c(OCC(C[NH2+]C(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,28,381.496,3.4426200000000016,3,2,67.93,7,3,1
HMDB0015698,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CC[NH+](CC2CC=CCC2)CC1,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CC[NH+](CC2CC=CCC2)CC1,29,403.50300000000027,1.7090999999999994,5,3,111.93,7,1,4
HMDB0015699,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,28,382.4600000000002,4.441500000000004,4,0,61.640000000000015,6,2,0
HMDB0015704,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(F)(F)COc1ccccc1,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(F)(F)COc1ccccc1,32,452.5380000000001,4.683000000000004,5,2,75.99000000000001,12,1,3
HMDB0028694,CC([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O,CC([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O,17,237.27900000000002,-0.5710999999999986,3,3,94.04,5,1,0
HMDB0028699,CC([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)O,CC([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)O,18,253.27800000000002,-0.8654999999999993,4,4,114.27,5,1,0
HMDB0028738,NC(=O)CC([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O,NC(=O)CC([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O,20,280.30400000000003,-1.7155999999999958,4,4,137.13,7,1,0
HMDB0028742,NC(=O)CC([NH3+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,NC(=O)CC([NH3+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,23,319.34100000000007,-1.2342999999999975,4,5,152.92,7,2,0
HMDB0028743,NC(=O)CC([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)O,NC(=O)CC([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)O,21,296.30300000000005,-2.009999999999997,5,5,157.36,7,1,0
HMDB0028764,[NH3+]C(CC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,[NH3+]C(CC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,23,320.32500000000005,-0.6349999999999987,5,5,147.12999999999997,7,2,0
HMDB0028765,[NH3+]C(CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,[NH3+]C(CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,21,297.28700000000003,-1.4106999999999992,6,5,151.57,7,1,0
HMDB0028804,N=C(O)CCC([NH3+])C(O)=NC(Cc1ccccc1)C(=O)O,N=C(O)CCC([NH3+])C(O)=NC(Cc1ccccc1)C(=O)O,21,294.3310000000001,0.5647700000000013,4,5,141.60999999999999,8,1,2
HMDB0028808,NC(=O)CCC([NH3+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,NC(=O)CCC([NH3+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,24,333.3680000000001,-0.8441999999999985,4,5,152.92,8,2,0
HMDB0028830,[NH3+]C(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,[NH3+]C(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,24,334.3520000000001,-0.24489999999999862,5,5,147.12999999999997,8,2,0
